Name,Gender,Birthtown,birth date,Street,Hometown,Class,start date,password
"Abel , Lukas",m,Berlin,27.07.1994,Hohlweg 1,12362 Berlin,Skill08-2020,04.09.20,Q2LZj4goA
"Albert , Joachim",f,Waren,26.09.1996,Gruene Strasse 11,17192 Waren,Skill39-2021,04.09.20,EWKaZommbaJuqbS
"Albrecht , Leon",m,Waren,17.05.1997,Am Muehlenweg 7b,1749 Waren (Mueritz),Skill08-2021,04.09.20,Dpkrxz3vHiuJqfD
"Aschersleben , Thomas",m,Greifswald,13.09.1996,Hildebrandshagen 1,17384 Greifswald,Skill39-2020,04.09.20,Kdj2jwwu7HojEnK
"Augustin , ""Benno",m,Jena,14.01.1997,Am Sandberg 6,47167 Duisburg,Skill09-2021,03.09.21,YQexudO
"Baecker , Kathrin",f,Gera,02.01.1996,Ernst-Alban-Strasse 38,15234 Frankfurt Oder,Skill02-2021,03.09.21,P9rejuUqMYeNm3lG
"Bahr , Leo Richard",m,Waren,09.12.1997,Merkelstrasse 2,18147 Rostock,Skill09-2020,03.09.21,Nt1ExhpY2ktO
"Barsikow , Winnie",f,Debrecen/Hungary,08.12.1996,Wellington Allee 3,47167 Duisburg,Skill08-2021,03.09.21,OVMz8tVagl3if2QO
"Bauch , Tristan",m,Demmin,07.12.1995,Grosser Weg 5,17237 Moellenbeck,Skill08-2021,03.09.21,R8sIiavBYtbuWNW
"Beck , Marcel",m,Neubrandenburg,09.01.1996,Erich-Zastrow-Strasse 12,17034 Neubrandenburg,Skill02-2021,03.09.21,QBdIvml8wiol5z8X
"Bednorz , Tabea",f,Goslar,29.09.1996,Teschendorfer Chaussee 27,22417 Hamburg,Skill09-2021,03.09.21,HRadtz3uefewnl5R
"Behland , Timo",m,Cottbus,27.04.1994,Kleiner Weg 1,34117 Kassel,Skill08-2021,03.09.21,UwupoxmDrL
"Behnke , Ann-Kathrin",f,Demmin,23.02.2000,Siedlung Nr. 2,04316 Leipzig,Skill09-2021,03.09.21,PiebswtU
"Beigner , Lena",f,Demmin,09.12.1997,Hinter der Gruenen Str. 5,"17109
17039 Demmin",Skill39-2020,04.09.20,WgrbzxiT9K5cOV
"Benz , Tom",m,Suhl,03.12.1996,Kopernikusstrasse 24,17192 Waren,Skill09-2021,03.09.21,j0q8s9j4z8qP
"Birkholz , Sven Hendrik",m,Berlin,10.03.1996,Strandstrasse 3,44229 Dortmund,Skill08-2021,03.09.21,UewMik5KqM
"Blank , Michael",m,Anklam,10.03.1997,Hof I,17389 Anklam,Skill08-2021,03.09.21,Ig4ScGbo2cB0BiyF
"Boehme , Alexander",m,Homs,08.12.1996,Hofstrasse 14,38350 Helmstedt,Skill39-2020,04.09.20,XigUanmfgB
"Brandt , Martin",m,Budapest/Hungary,,Eberhof 23,51103 Koeln,Skill08-2021,03.09.21,C4Oojo8E2p2oT
"Breitsprecher , Maja",f,Neubrandenburg,17.02.1997,Busstrasse 12,17036 Neubrandenburg,Skill08-2021,03.09.21,Jaechcutu7JvcK
"Bremer , Jannik",m,Pasewalk,03.08.1997,Greifswalder Strasse 4,68161 Mannheim,Skill08-2020,04.09.20,O3ayggag0w5o5gM
"Brenner , Aileen",f,Neubrandenburg,07.12.1995,Jaegerstrasse 1,51143 Koeln,Skill39-2020,04.09.20,Vqlpf2pY
"Bruemmer , Lea",f,Meiningen,29.01.1997,Jarvis Allee 3,39120 Magdeburg,Skill08-2021,03.09.21,WD9mtxf2olbJ
"Bruhnke , Henning",m,Magdeburg,07.11.1994,Jahnstrasse 46,39120 Magdeburg,Skill39-2020,04.09.20,D0R7Qi3V9w1ZaZ=5q3GeB8lP
"Brunner , Lena",f,Anklam,06.02.1997,Tardis Platz 4,17309 Anklam,Skill08-2021,03.09.21,asdfghjk
"Buelow , Hans",m,Gera,01.07.1995,Greifstr. 12,41239 Minden,Skill08-2020,04.09.20,Y1vjq5YCirK
